App Name, Violation Detected
MtpApp1, False
MtpApp2, False
MtpApp3, True
MtpApp4, True
MtpApp5, False
MtpApp6, True
MtpApp7, False
MtpApp8, True
MtpApp9, True
MtpApp10, False
MtpApp11, False
MtpApp12, False
MtpApp13, False
MtpApp14, True
MtpApp15, False
MtpApp16, False
MtpApp17, True
MtpApp18, True
MtpApp19, True
MtpApp20, False
MtpApp21, True
MtpApp22, False
MtpApp23, False
MtpApp24, False
MtpApp25, True
MtpApp26, False
MtpApp27, False
MtpApp28, False
MtpApp29, True
MtpApp30, True
MtpApp31, True
MtpApp32, True
MtpApp33, False
MtpApp34, True
MtpApp35, True
MtpApp36, False
MtpApp37, False
MtpApp38, True
MtpApp39, True
MtpApp40, False
MtpApp41, False
MtpApp42, False
MtpApp43, True
MtpApp44, False
MtpApp45, False
MtpApp46, True
MtpApp47, True
MtpApp48, False
MtpApp49, False
MtpApp50, True
MtpApp51, False
MtpApp52, True
MtpApp53, False
MtpApp54, True
MtpApp55, False
MtpApp56, False
MtpApp57, False
MtpApp58, True
MtpApp59, True
MtpApp60, True
MtpApp61, False
MtpApp62, True
MtpApp63, False
MtpApp64, False
MtpApp65, False
MtpApp66, True
MtpApp67, True
MtpApp68, True
MtpApp69, True
MtpApp70, True
MtpApp71, True
MtpApp72, False
MtpApp73, True
MtpApp74, True
MtpApp75, False
MtpApp76, False
MtpApp77, False
MtpApp78, True
MtpApp79, False
MtpApp80, True
MtpApp81, False
MtpApp82, False
MtpApp83, False
MtpApp84, True
MtpApp85, False
MtpApp86, True
MtpApp87, True
MtpApp88, False
MtpApp89, False
MtpApp90, False
MtpApp91, True
MtpApp92, False
MtpApp93, False
MtpApp94, True
MtpApp95, False
MtpApp96, True
MtpApp97, True
MtpApp98, True
MtpApp99, True
MtpApp100, False
